 0 1000 0,  0 -1000 0
 1.298e+06 998.038 0,  -1.298e+06 -998.038 0
 1.299e+06 998.036 0,  -1.299e+06 -998.036 0
 1.3e+06 998.035 0,  -1.3e+06 -998.035 0
 1.301e+06 998.033 0,  -1.301e+06 -998.033 0
 1.302e+06 998.032 0,  -1.302e+06 -998.032 0
 1.303e+06 998.03 0,  -1.303e+06 -998.03 0
 1.304e+06 998.029 0,  -1.304e+06 -998.029 0
 1.305e+06 998.027 0,  -1.305e+06 -998.027 0
 1.306e+06 998.026 0,  -1.306e+06 -998.026 0
 1.307e+06 998.024 0,  -1.307e+06 -998.024 0
 1.308e+06 998.023 0,  -1.308e+06 -998.023 0
 1.309e+06 998.021 0,  -1.309e+06 -998.021 0
 1.31e+06 998.02 0,  -1.31e+06 -998.02 0
 1.311e+06 998.018 0,  -1.311e+06 -998.018 0
 1.312e+06 998.017 0,  -1.312e+06 -998.017 0
 1.313e+06 998.015 0,  -1.313e+06 -998.015 0
 1.314e+06 998.014 0,  -1.314e+06 -998.014 0
 1.315e+06 998.012 0,  -1.315e+06 -998.012 0
 1.316e+06 998.011 0,  -1.316e+06 -998.011 0
 1.317e+06 998.009 0,  -1.317e+06 -998.009 0
 1.318e+06 998.008 0,  -1.318e+06 -998.008 0
 1.319e+06 998.006 0,  -1.319e+06 -998.006 0
 1.32e+06 998.004 0,  -1.32e+06 -998.004 0
 1.321e+06 998.003 0,  -1.321e+06 -998.003 0
 1.322e+06 998.001 0,  -1.322e+06 -998.001 0
 1.323e+06 998 0,  -1.323e+06 -998 0
 1.324e+06 997.998 0,  -1.324e+06 -997.998 0
 1.325e+06 997.997 0,  -1.325e+06 -997.997 0
 1.326e+06 997.995 0,  -1.326e+06 -997.995 0
 1.327e+06 997.994 0,  -1.327e+06 -997.994 0
 1.328e+06 997.992 0,  -1.328e+06 -997.992 0
 1.329e+06 997.991 0,  -1.329e+06 -997.991 0
 1.33e+06 997.989 0,  -1.33e+06 -997.989 0
 1.331e+06 997.988 0,  -1.331e+06 -997.988 0
 1.332e+06 997.986 0,  -1.332e+06 -997.986 0
 1.333e+06 997.985 0,  -1.333e+06 -997.985 0
 1.334e+06 997.983 0,  -1.334e+06 -997.983 0
 1.335e+06 997.982 0,  -1.335e+06 -997.982 0
 1.336e+06 997.98 0,  -1.336e+06 -997.98 0
 1.337e+06 997.979 0,  -1.337e+06 -997.979 0
 1.338e+06 997.977 0,  -1.338e+06 -997.977 0
 1.339e+06 997.976 0,  -1.339e+06 -997.976 0
 1.34e+06 997.974 0,  -1.34e+06 -997.974 0
 1.341e+06 997.973 0,  -1.341e+06 -997.973 0
 1.342e+06 997.971 0,  -1.342e+06 -997.971 0
 1.343e+06 997.97 0,  -1.343e+06 -997.97 0
 1.344e+06 997.968 0,  -1.344e+06 -997.968 0
 1.345e+06 997.967 0,  -1.345e+06 -997.967 0
 1.346e+06 997.965 0,  -1.346e+06 -997.965 0
 1.347e+06 997.964 0,  -1.347e+06 -997.964 0
 1.348e+06 997.962 0,  -1.348e+06 -997.962 0
 1.349e+06 997.961 0,  -1.349e+06 -997.961 0
 1.35e+06 997.959 0,  -1.35e+06 -997.959 0
 1.351e+06 997.958 0,  -1.351e+06 -997.958 0
 1.352e+06 997.956 0,  -1.352e+06 -997.956 0
 1.353e+06 997.955 0,  -1.353e+06 -997.955 0
 1.354e+06 997.953 0,  -1.354e+06 -997.953 0
 1.355e+06 997.952 0,  -1.355e+06 -997.952 0
 1.356e+06 997.95 0,  -1.356e+06 -997.95 0
 1.357e+06 997.949 0,  -1.357e+06 -997.949 0
 1.358e+06 997.947 0,  -1.358e+06 -997.947 0
 1.359e+06 997.946 0,  -1.359e+06 -997.946 0
 1.36e+06 997.944 0,  -1.36e+06 -997.944 0
 1.361e+06 997.942 0,  -1.361e+06 -997.942 0
 1.362e+06 997.941 0,  -1.362e+06 -997.941 0
 1.363e+06 997.939 0,  -1.363e+06 -997.939 0
 1.364e+06 997.938 0,  -1.364e+06 -997.938 0
 1.365e+06 997.936 0,  -1.365e+06 -997.936 0
 1.366e+06 997.935 0,  -1.366e+06 -997.935 0
 1.367e+06 997.933 0,  -1.367e+06 -997.933 0
 1.368e+06 997.932 0,  -1.368e+06 -997.932 0
 1.369e+06 997.93 0,  -1.369e+06 -997.93 0
 1.37e+06 997.929 0,  -1.37e+06 -997.929 0
 1.371e+06 997.927 0,  -1.371e+06 -997.927 0
 1.372e+06 997.926 0,  -1.372e+06 -997.926 0
 1.373e+06 997.924 0,  -1.373e+06 -997.924 0
 1.374e+06 997.923 0,  -1.374e+06 -997.923 0
 1.375e+06 997.921 0,  -1.375e+06 -997.921 0
 1.376e+06 997.92 0,  -1.376e+06 -997.92 0
 1.377e+06 997.918 0,  -1.377e+06 -997.918 0
 1.378e+06 997.917 0,  -1.378e+06 -997.917 0
 1.379e+06 997.915 0,  -1.379e+06 -997.915 0
 1.38e+06 997.914 0,  -1.38e+06 -997.914 0
 1.381e+06 997.912 0,  -1.381e+06 -997.912 0
 1.382e+06 997.911 0,  -1.382e+06 -997.911 0
 1.383e+06 997.909 0,  -1.383e+06 -997.909 0
 1.384e+06 997.908 0,  -1.384e+06 -997.908 0
 1.385e+06 997.906 0,  -1.385e+06 -997.906 0
 1.386e+06 997.905 0,  -1.386e+06 -997.905 0
 1.387e+06 997.903 0,  -1.387e+06 -997.903 0
 1.388e+06 997.902 0,  -1.388e+06 -997.902 0
 1.389e+06 997.9 0,  -1.389e+06 -997.9 0
 1.39e+06 997.899 0,  -1.39e+06 -997.899 0
 1.391e+06 997.897 0,  -1.391e+06 -997.897 0
 1.392e+06 997.896 0,  -1.392e+06 -997.896 0
 1.393e+06 997.894 0,  -1.393e+06 -997.894 0
 1.394e+06 997.893 0,  -1.394e+06 -997.893 0
 1.395e+06 997.891 0,  -1.395e+06 -997.891 0
 1.396e+06 997.89 0,  -1.396e+06 -997.89 0
 1.397e+06 997.888 0,  -1.397e+06 -997.888 0
 1.398e+06 997.887 0,  -1.398e+06 -997.887 0
 1.399e+06 997.885 0,  -1.399e+06 -997.885 0
 1.4e+06 997.883 0,  -1.4e+06 -997.883 0
 1.401e+06 997.882 0,  -1.401e+06 -997.882 0
 1.402e+06 997.88 0,  -1.402e+06 -997.88 0
 1.403e+06 997.879 0,  -1.403e+06 -997.879 0
 1.404e+06 997.877 0,  -1.404e+06 -997.877 0
 1.405e+06 997.876 0,  -1.405e+06 -997.876 0
 1.406e+06 997.874 0,  -1.406e+06 -997.874 0
 1.407e+06 997.873 0,  -1.407e+06 -997.873 0
 1.408e+06 997.871 0,  -1.408e+06 -997.871 0
 1.409e+06 997.87 0,  -1.409e+06 -997.87 0
 1.41e+06 997.868 0,  -1.41e+06 -997.868 0
 1.411e+06 997.867 0,  -1.411e+06 -997.867 0
 1.412e+06 997.865 0,  -1.412e+06 -997.865 0
 1.413e+06 997.864 0,  -1.413e+06 -997.864 0
 1.414e+06 997.862 0,  -1.414e+06 -997.862 0
 1.415e+06 997.861 0,  -1.415e+06 -997.861 0
 1.416e+06 997.859 0,  -1.416e+06 -997.859 0
 1.417e+06 997.858 0,  -1.417e+06 -997.858 0
 1.418e+06 997.856 0,  -1.418e+06 -997.856 0
 1.419e+06 997.855 0,  -1.419e+06 -997.855 0
 1.42e+06 997.853 0,  -1.42e+06 -997.853 0
 1.421e+06 997.852 0,  -1.421e+06 -997.852 0
 1.422e+06 997.85 0,  -1.422e+06 -997.85 0
 1.423e+06 997.849 0,  -1.423e+06 -997.849 0
 1.424e+06 997.847 0,  -1.424e+06 -997.847 0
 1.425e+06 997.846 0,  -1.425e+06 -997.846 0
 1.426e+06 997.844 0,  -1.426e+06 -997.844 0
 1.427e+06 997.843 0,  -1.427e+06 -997.843 0
 1.428e+06 997.841 0,  -1.428e+06 -997.841 0
 1.429e+06 997.84 0,  -1.429e+06 -997.84 0
 1.43e+06 997.838 0,  -1.43e+06 -997.838 0
 1.431e+06 997.837 0,  -1.431e+06 -997.837 0
 1.432e+06 997.835 0,  -1.432e+06 -997.835 0
 1.433e+06 997.834 0,  -1.433e+06 -997.834 0
 1.434e+06 997.832 0,  -1.434e+06 -997.832 0
 1.435e+06 997.831 0,  -1.435e+06 -997.831 0
 1.436e+06 997.829 0,  -1.436e+06 -997.829 0
 1.437e+06 997.828 0,  -1.437e+06 -997.828 0
 1.438e+06 997.826 0,  -1.438e+06 -997.826 0
 1.439e+06 997.825 0,  -1.439e+06 -997.825 0
 1.44e+06 997.823 0,  -1.44e+06 -997.823 0
 1.441e+06 997.821 0,  -1.441e+06 -997.821 0
 1.442e+06 997.82 0,  -1.442e+06 -997.82 0
 1.443e+06 997.818 0,  -1.443e+06 -997.818 0
 1.444e+06 997.817 0,  -1.444e+06 -997.817 0
 1.445e+06 997.815 0,  -1.445e+06 -997.815 0
 1.446e+06 997.814 0,  -1.446e+06 -997.814 0
 1.447e+06 997.812 0,  -1.447e+06 -997.812 0
 1.448e+06 997.811 0,  -1.448e+06 -997.811 0
 1.449e+06 997.809 0,  -1.449e+06 -997.809 0
 1.45e+06 997.808 0,  -1.45e+06 -997.808 0
 1.451e+06 997.806 0,  -1.451e+06 -997.806 0
 1.452e+06 997.805 0,  -1.452e+06 -997.805 0
 1.453e+06 997.803 0,  -1.453e+06 -997.803 0
 1.454e+06 997.802 0,  -1.454e+06 -997.802 0
 1.455e+06 997.8 0,  -1.455e+06 -997.8 0
 1.456e+06 997.799 0,  -1.456e+06 -997.799 0
 1.457e+06 997.797 0,  -1.457e+06 -997.797 0
 1.458e+06 997.796 0,  -1.458e+06 -997.796 0
 1.459e+06 997.794 0,  -1.459e+06 -997.794 0
 1.46e+06 997.793 0,  -1.46e+06 -997.793 0
 1.461e+06 997.791 0,  -1.461e+06 -997.791 0
 1.462e+06 997.79 0,  -1.462e+06 -997.79 0
 1.463e+06 997.788 0,  -1.463e+06 -997.788 0
 1.464e+06 997.787 0,  -1.464e+06 -997.787 0
 1.465e+06 997.785 0,  -1.465e+06 -997.785 0
 1.466e+06 997.784 0,  -1.466e+06 -997.784 0
 1.467e+06 997.782 0,  -1.467e+06 -997.782 0
 1.468e+06 997.781 0,  -1.468e+06 -997.781 0
 1.469e+06 997.779 0,  -1.469e+06 -997.779 0
 1.47e+06 997.778 0,  -1.47e+06 -997.778 0
 1.471e+06 997.776 0,  -1.471e+06 -997.776 0
 1.472e+06 997.775 0,  -1.472e+06 -997.775 0
 1.473e+06 997.773 0,  -1.473e+06 -997.773 0
 1.474e+06 997.772 0,  -1.474e+06 -997.772 0
 1.475e+06 997.77 0,  -1.475e+06 -997.77 0
 1.476e+06 997.769 0,  -1.476e+06 -997.769 0
 1.477e+06 997.767 0,  -1.477e+06 -997.767 0
 1.478e+06 997.766 0,  -1.478e+06 -997.766 0
 1.479e+06 997.764 0,  -1.479e+06 -997.764 0
 1.48e+06 997.762 0,  -1.48e+06 -997.762 0
 1.481e+06 997.761 0,  -1.481e+06 -997.761 0
 1.482e+06 997.759 0,  -1.482e+06 -997.759 0
 1.483e+06 997.758 0,  -1.483e+06 -997.758 0
 1.484e+06 997.756 0,  -1.484e+06 -997.756 0
 1.485e+06 997.755 0,  -1.485e+06 -997.755 0
 1.486e+06 997.753 0,  -1.486e+06 -997.753 0
 1.487e+06 997.752 0,  -1.487e+06 -997.752 0
 1.488e+06 997.75 0,  -1.488e+06 -997.75 0
 1.489e+06 997.749 0,  -1.489e+06 -997.749 0
 1.49e+06 997.747 0,  -1.49e+06 -997.747 0
 1.491e+06 997.746 0,  -1.491e+06 -997.746 0
 1.492e+06 997.744 0,  -1.492e+06 -997.744 0
 1.493e+06 997.743 0,  -1.493e+06 -997.743 0
 1.494e+06 997.741 0,  -1.494e+06 -997.741 0
 1.495e+06 997.74 0,  -1.495e+06 -997.74 0
 1.496e+06 997.738 0,  -1.496e+06 -997.738 0
 1.497e+06 997.737 0,  -1.497e+06 -997.737 0
 1.498e+06 997.735 0,  -1.498e+06 -997.735 0
 1.499e+06 997.734 0,  -1.499e+06 -997.734 0
 1.5e+06 997.732 0,  -1.5e+06 -997.732 0
 1.501e+06 997.731 0,  -1.501e+06 -997.731 0
 1.502e+06 997.729 0,  -1.502e+06 -997.729 0
 1.503e+06 997.728 0,  -1.503e+06 -997.728 0
 1.504e+06 997.726 0,  -1.504e+06 -997.726 0
 1.505e+06 997.725 0,  -1.505e+06 -997.725 0
 1.506e+06 997.723 0,  -1.506e+06 -997.723 0
 1.507e+06 997.722 0,  -1.507e+06 -997.722 0
 1.508e+06 997.72 0,  -1.508e+06 -997.72 0
 1.509e+06 997.719 0,  -1.509e+06 -997.719 0
 1.51e+06 997.717 0,  -1.51e+06 -997.717 0
 1.511e+06 997.716 0,  -1.511e+06 -997.716 0
 1.512e+06 997.714 0,  -1.512e+06 -997.714 0
 1.513e+06 997.713 0,  -1.513e+06 -997.713 0
 1.514e+06 997.711 0,  -1.514e+06 -997.711 0
 1.515e+06 997.71 0,  -1.515e+06 -997.71 0
 1.516e+06 997.708 0,  -1.516e+06 -997.708 0
 1.517e+06 997.707 0,  -1.517e+06 -997.707 0
 1.518e+06 997.705 0,  -1.518e+06 -997.705 0
 1.519e+06 997.704 0,  -1.519e+06 -997.704 0
 1.52e+06 997.702 0,  -1.52e+06 -997.702 0
 1.521e+06 997.7 0,  -1.521e+06 -997.7 0
 1.522e+06 997.699 0,  -1.522e+06 -997.699 0
 1.523e+06 997.697 0,  -1.523e+06 -997.697 0
 1.524e+06 997.696 0,  -1.524e+06 -997.696 0
 1.525e+06 997.694 0,  -1.525e+06 -997.694 0
 1.526e+06 997.693 0,  -1.526e+06 -997.693 0
 1.527e+06 997.691 0,  -1.527e+06 -997.691 0
 1.528e+06 997.69 0,  -1.528e+06 -997.69 0
 1.529e+06 997.688 0,  -1.529e+06 -997.688 0
 1.53e+06 997.687 0,  -1.53e+06 -997.687 0
 1.531e+06 997.685 0,  -1.531e+06 -997.685 0
 1.532e+06 997.684 0,  -1.532e+06 -997.684 0
 1.533e+06 997.682 0,  -1.533e+06 -997.682 0
 1.534e+06 997.681 0,  -1.534e+06 -997.681 0
 1.535e+06 997.679 0,  -1.535e+06 -997.679 0
 1.536e+06 997.678 0,  -1.536e+06 -997.678 0
 1.537e+06 997.676 0,  -1.537e+06 -997.676 0
 1.538e+06 997.675 0,  -1.538e+06 -997.675 0
 1.539e+06 997.673 0,  -1.539e+06 -997.673 0
 1.54e+06 997.672 0,  -1.54e+06 -997.672 0
 1.541e+06 997.67 0,  -1.541e+06 -997.67 0
 1.542e+06 997.669 0,  -1.542e+06 -997.669 0
 1.543e+06 997.667 0,  -1.543e+06 -997.667 0
 1.544e+06 997.666 0,  -1.544e+06 -997.666 0
 1.545e+06 997.664 0,  -1.545e+06 -997.664 0
 1.546e+06 997.663 0,  -1.546e+06 -997.663 0
 1.547e+06 997.661 0,  -1.547e+06 -997.661 0
 1.548e+06 997.66 0,  -1.548e+06 -997.66 0
 1.549e+06 997.658 0,  -1.549e+06 -997.658 0
 1.55e+06 997.657 0,  -1.55e+06 -997.657 0
 1.551e+06 997.655 0,  -1.551e+06 -997.655 0
 1.552e+06 997.654 0,  -1.552e+06 -997.654 0
 1.553e+06 997.652 0,  -1.553e+06 -997.652 0
 1.554e+06 997.651 0,  -1.554e+06 -997.651 0
 1.555e+06 997.649 0,  -1.555e+06 -997.649 0
 1.556e+06 997.648 0,  -1.556e+06 -997.648 0
 1.557e+06 997.646 0,  -1.557e+06 -997.646 0
 1.558e+06 997.645 0,  -1.558e+06 -997.645 0
 1.559e+06 997.643 0,  -1.559e+06 -997.643 0
 1.56e+06 997.642 0,  -1.56e+06 -997.642 0
 1.561e+06 997.64 0,  -1.561e+06 -997.64 0
 1.562e+06 997.638 0,  -1.562e+06 -997.638 0
 1.563e+06 997.637 0,  -1.563e+06 -997.637 0
 1.564e+06 997.635 0,  -1.564e+06 -997.635 0
 1.565e+06 997.634 0,  -1.565e+06 -997.634 0
 1.566e+06 997.632 0,  -1.566e+06 -997.632 0
 1.567e+06 997.631 0,  -1.567e+06 -997.631 0
 1.568e+06 997.629 0,  -1.568e+06 -997.629 0
 1.569e+06 997.628 0,  -1.569e+06 -997.628 0
 1.57e+06 997.626 0,  -1.57e+06 -997.626 0
 1.571e+06 997.625 0,  -1.571e+06 -997.625 0
 1.572e+06 997.623 0,  -1.572e+06 -997.623 0
 1.573e+06 997.622 0,  -1.573e+06 -997.622 0
 1.574e+06 997.62 0,  -1.574e+06 -997.62 0
 1.575e+06 997.619 0,  -1.575e+06 -997.619 0
 1.576e+06 997.617 0,  -1.576e+06 -997.617 0
 1.577e+06 997.616 0,  -1.577e+06 -997.616 0
 1.578e+06 997.614 0,  -1.578e+06 -997.614 0
 1.579e+06 997.613 0,  -1.579e+06 -997.613 0
 1.58e+06 997.611 0,  -1.58e+06 -997.611 0
 1.581e+06 997.61 0,  -1.581e+06 -997.61 0
 1.582e+06 997.608 0,  -1.582e+06 -997.608 0
 1.583e+06 997.607 0,  -1.583e+06 -997.607 0
 1.584e+06 997.605 0,  -1.584e+06 -997.605 0
 1.585e+06 997.604 0,  -1.585e+06 -997.604 0
 1.586e+06 997.602 0,  -1.586e+06 -997.602 0
 1.587e+06 997.601 0,  -1.587e+06 -997.601 0
 1.588e+06 997.599 0,  -1.588e+06 -997.599 0
 1.589e+06 997.598 0,  -1.589e+06 -997.598 0
 1.59e+06 997.596 0,  -1.59e+06 -997.596 0
 1.591e+06 997.595 0,  -1.591e+06 -997.595 0
 1.592e+06 997.593 0,  -1.592e+06 -997.593 0
 1.593e+06 997.592 0,  -1.593e+06 -997.592 0
 1.594e+06 997.59 0,  -1.594e+06 -997.59 0
 1.595e+06 997.589 0,  -1.595e+06 -997.589 0
 1.596e+06 997.587 0,  -1.596e+06 -997.587 0
 1.597e+06 997.586 0,  -1.597e+06 -997.586 0
 1.598e+06 997.584 0,  -1.598e+06 -997.584 0
 1.599e+06 997.583 0,  -1.599e+06 -997.583 0
 1.6e+06 997.581 0,  -1.6e+06 -997.581 0
 1.601e+06 997.579 0,  -1.601e+06 -997.579 0
 1.602e+06 997.578 0,  -1.602e+06 -997.578 0
 1.603e+06 997.576 0,  -1.603e+06 -997.576 0
 1.604e+06 997.575 0,  -1.604e+06 -997.575 0
 1.605e+06 997.573 0,  -1.605e+06 -997.573 0
 1.606e+06 997.572 0,  -1.606e+06 -997.572 0
 1.607e+06 997.57 0,  -1.607e+06 -997.57 0
 1.608e+06 997.569 0,  -1.608e+06 -997.569 0
 1.609e+06 997.567 0,  -1.609e+06 -997.567 0
 1.61e+06 997.566 0,  -1.61e+06 -997.566 0
 1.611e+06 997.564 0,  -1.611e+06 -997.564 0
 1.612e+06 997.563 0,  -1.612e+06 -997.563 0
 1.613e+06 997.561 0,  -1.613e+06 -997.561 0
 1.614e+06 997.56 0,  -1.614e+06 -997.56 0
 1.615e+06 997.558 0,  -1.615e+06 -997.558 0
 1.616e+06 997.557 0,  -1.616e+06 -997.557 0
 1.617e+06 997.555 0,  -1.617e+06 -997.555 0
 1.618e+06 997.554 0,  -1.618e+06 -997.554 0
 1.619e+06 997.552 0,  -1.619e+06 -997.552 0
 1.62e+06 997.551 0,  -1.62e+06 -997.551 0
 1.621e+06 997.549 0,  -1.621e+06 -997.549 0
 1.622e+06 997.548 0,  -1.622e+06 -997.548 0
 1.623e+06 997.546 0,  -1.623e+06 -997.546 0
 1.624e+06 997.545 0,  -1.624e+06 -997.545 0
 1.625e+06 997.543 0,  -1.625e+06 -997.543 0
 1.626e+06 997.542 0,  -1.626e+06 -997.542 0
 1.627e+06 997.54 0,  -1.627e+06 -997.54 0
 1.628e+06 997.539 0,  -1.628e+06 -997.539 0
 1.629e+06 997.537 0,  -1.629e+06 -997.537 0
 1.63e+06 997.536 0,  -1.63e+06 -997.536 0
 1.631e+06 997.534 0,  -1.631e+06 -997.534 0
 1.632e+06 997.533 0,  -1.632e+06 -997.533 0
 1.633e+06 997.531 0,  -1.633e+06 -997.531 0
 1.634e+06 997.53 0,  -1.634e+06 -997.53 0
 1.635e+06 997.528 0,  -1.635e+06 -997.528 0
 1.636e+06 997.527 0,  -1.636e+06 -997.527 0
 1.637e+06 997.525 0,  -1.637e+06 -997.525 0
 1.638e+06 997.524 0,  -1.638e+06 -997.524 0
 1.639e+06 997.522 0,  -1.639e+06 -997.522 0
 1.64e+06 997.521 0,  -1.64e+06 -997.521 0
 1.641e+06 997.519 0,  -1.641e+06 -997.519 0
 1.642e+06 997.517 0,  -1.642e+06 -997.517 0
 1.643e+06 997.516 0,  -1.643e+06 -997.516 0
 1.644e+06 997.514 0,  -1.644e+06 -997.514 0
 1.645e+06 997.513 0,  -1.645e+06 -997.513 0
 1.646e+06 997.511 0,  -1.646e+06 -997.511 0
 1.647e+06 997.51 0,  -1.647e+06 -997.51 0
 1.648e+06 997.508 0,  -1.648e+06 -997.508 0
 1.649e+06 997.507 0,  -1.649e+06 -997.507 0
 1.65e+06 997.505 0,  -1.65e+06 -997.505 0
 1.651e+06 997.504 0,  -1.651e+06 -997.504 0
 1.652e+06 997.502 0,  -1.652e+06 -997.502 0
 1.653e+06 997.501 0,  -1.653e+06 -997.501 0
 1.654e+06 997.499 0,  -1.654e+06 -997.499 0
 1.655e+06 997.498 0,  -1.655e+06 -997.498 0
 1.656e+06 997.496 0,  -1.656e+06 -997.496 0
 1.657e+06 997.495 0,  -1.657e+06 -997.495 0
 1.658e+06 997.493 0,  -1.658e+06 -997.493 0
 1.659e+06 997.492 0,  -1.659e+06 -997.492 0
 1.66e+06 997.49 0,  -1.66e+06 -997.49 0
 1.661e+06 997.489 0,  -1.661e+06 -997.489 0
 1.662e+06 997.487 0,  -1.662e+06 -997.487 0
 1.663e+06 997.486 0,  -1.663e+06 -997.486 0
 1.664e+06 997.484 0,  -1.664e+06 -997.484 0
 1.665e+06 997.483 0,  -1.665e+06 -997.483 0
 1.666e+06 997.481 0,  -1.666e+06 -997.481 0
 1.667e+06 997.48 0,  -1.667e+06 -997.48 0
 1.668e+06 997.478 0,  -1.668e+06 -997.478 0
 1.669e+06 997.477 0,  -1.669e+06 -997.477 0
 1.67e+06 997.475 0,  -1.67e+06 -997.475 0
 1.671e+06 997.474 0,  -1.671e+06 -997.474 0
 1.672e+06 997.472 0,  -1.672e+06 -997.472 0
 1.673e+06 997.471 0,  -1.673e+06 -997.471 0
 1.674e+06 997.469 0,  -1.674e+06 -997.469 0
 1.675e+06 997.468 0,  -1.675e+06 -997.468 0
 1.676e+06 997.466 0,  -1.676e+06 -997.466 0
 1.677e+06 997.465 0,  -1.677e+06 -997.465 0
 1.678e+06 997.463 0,  -1.678e+06 -997.463 0
 1.679e+06 997.462 0,  -1.679e+06 -997.462 0
 1.68e+06 997.46 0,  -1.68e+06 -997.46 0
 1.681e+06 997.458 0,  -1.681e+06 -997.458 0
 1.682e+06 997.457 0,  -1.682e+06 -997.457 0
 1.683e+06 997.455 0,  -1.683e+06 -997.455 0
 1.684e+06 997.454 0,  -1.684e+06 -997.454 0
 1.685e+06 997.452 0,  -1.685e+06 -997.452 0
 1.686e+06 997.451 0,  -1.686e+06 -997.451 0
 1.687e+06 997.449 0,  -1.687e+06 -997.449 0
 1.688e+06 997.448 0,  -1.688e+06 -997.448 0
 1.689e+06 997.446 0,  -1.689e+06 -997.446 0
 1.69e+06 997.445 0,  -1.69e+06 -997.445 0
 1.691e+06 997.443 0,  -1.691e+06 -997.443 0
 1.692e+06 997.442 0,  -1.692e+06 -997.442 0
 1.693e+06 997.44 0,  -1.693e+06 -997.44 0
 1.694e+06 997.439 0,  -1.694e+06 -997.439 0
 1.695e+06 997.437 0,  -1.695e+06 -997.437 0
 1.696e+06 997.436 0,  -1.696e+06 -997.436 0
 1.697e+06 997.434 0,  -1.697e+06 -997.434 0
 1.698e+06 997.433 0,  -1.698e+06 -997.433 0
 1.699e+06 997.431 0,  -1.699e+06 -997.431 0
 1.7e+06 997.43 0,  -1.7e+06 -997.43 0
 1.701e+06 997.428 0,  -1.701e+06 -997.428 0
 1.702e+06 997.427 0,  -1.702e+06 -997.427 0
 1.703e+06 997.425 0,  -1.703e+06 -997.425 0
 1.704e+06 997.424 0,  -1.704e+06 -997.424 0
 1.705e+06 997.422 0,  -1.705e+06 -997.422 0
 1.706e+06 997.421 0,  -1.706e+06 -997.421 0
 1.707e+06 997.419 0,  -1.707e+06 -997.419 0
 1.708e+06 997.418 0,  -1.708e+06 -997.418 0
 1.709e+06 997.416 0,  -1.709e+06 -997.416 0
 1.71e+06 997.415 0,  -1.71e+06 -997.415 0
 1.711e+06 997.413 0,  -1.711e+06 -997.413 0
 1.712e+06 997.412 0,  -1.712e+06 -997.412 0
 1.713e+06 997.41 0,  -1.713e+06 -997.41 0
 1.714e+06 997.409 0,  -1.714e+06 -997.409 0
 1.715e+06 997.407 0,  -1.715e+06 -997.407 0
 1.716e+06 997.406 0,  -1.716e+06 -997.406 0
 1.717e+06 997.404 0,  -1.717e+06 -997.404 0
 1.718e+06 997.403 0,  -1.718e+06 -997.403 0
 1.719e+06 997.401 0,  -1.719e+06 -997.401 0
 1.72e+06 997.4 0,  -1.72e+06 -997.4 0
 1.721e+06 997.398 0,  -1.721e+06 -997.398 0
 1.722e+06 997.396 0,  -1.722e+06 -997.396 0
 1.723e+06 997.395 0,  -1.723e+06 -997.395 0
 1.724e+06 997.393 0,  -1.724e+06 -997.393 0
 1.725e+06 997.392 0,  -1.725e+06 -997.392 0
 1.726e+06 997.39 0,  -1.726e+06 -997.39 0
 1.727e+06 997.389 0,  -1.727e+06 -997.389 0
 1.728e+06 997.387 0,  -1.728e+06 -997.387 0
 1.729e+06 997.386 0,  -1.729e+06 -997.386 0
 1.73e+06 997.384 0,  -1.73e+06 -997.384 0
 1.731e+06 997.383 0,  -1.731e+06 -997.383 0
 1.732e+06 997.381 0,  -1.732e+06 -997.381 0
 1.733e+06 997.38 0,  -1.733e+06 -997.38 0
 1.734e+06 997.378 0,  -1.734e+06 -997.378 0
 1.735e+06 997.377 0,  -1.735e+06 -997.377 0
 1.736e+06 997.375 0,  -1.736e+06 -997.375 0
 1.737e+06 997.374 0,  -1.737e+06 -997.374 0
 1.738e+06 997.372 0,  -1.738e+06 -997.372 0
 1.739e+06 997.371 0,  -1.739e+06 -997.371 0
 1.74e+06 997.369 0,  -1.74e+06 -997.369 0
 1.741e+06 997.368 0,  -1.741e+06 -997.368 0
 1.742e+06 997.366 0,  -1.742e+06 -997.366 0
 1.743e+06 997.365 0,  -1.743e+06 -997.365 0
 1.744e+06 997.363 0,  -1.744e+06 -997.363 0
 1.745e+06 997.362 0,  -1.745e+06 -997.362 0
 1.746e+06 997.36 0,  -1.746e+06 -997.36 0
 1.747e+06 997.359 0,  -1.747e+06 -997.359 0
 1.748e+06 997.357 0,  -1.748e+06 -997.357 0
 1.749e+06 997.356 0,  -1.749e+06 -997.356 0
 1.75e+06 997.354 0,  -1.75e+06 -997.354 0
 1.751e+06 997.353 0,  -1.751e+06 -997.353 0
 1.752e+06 997.351 0,  -1.752e+06 -997.351 0
 1.753e+06 997.35 0,  -1.753e+06 -997.35 0
 1.754e+06 997.348 0,  -1.754e+06 -997.348 0
 1.755e+06 997.347 0,  -1.755e+06 -997.347 0
 1.756e+06 997.345 0,  -1.756e+06 -997.345 0
 1.757e+06 997.344 0,  -1.757e+06 -997.344 0
 1.758e+06 997.342 0,  -1.758e+06 -997.342 0
 1.759e+06 997.341 0,  -1.759e+06 -997.341 0
 1.76e+06 997.339 0,  -1.76e+06 -997.339 0
 1.761e+06 997.338 0,  -1.761e+06 -997.338 0
 1.762e+06 997.336 0,  -1.762e+06 -997.336 0
 1.763e+06 997.334 0,  -1.763e+06 -997.334 0
