 0 1000 0,  0 -1000 0
 138000 999.792 0,  -138000 -999.792 0
 139000 999.791 0,  -139000 -999.791 0
 140000 999.789 0,  -140000 -999.789 0
 141000 999.788 0,  -141000 -999.788 0
 142000 999.786 0,  -142000 -999.786 0
 143000 999.785 0,  -143000 -999.785 0
 144000 999.783 0,  -144000 -999.783 0
 145000 999.782 0,  -145000 -999.782 0
 146000 999.78 0,  -146000 -999.78 0
 147000 999.779 0,  -147000 -999.779 0
 148000 999.777 0,  -148000 -999.777 0
 149000 999.776 0,  -149000 -999.776 0
 150000 999.774 0,  -150000 -999.774 0
 151000 999.773 0,  -151000 -999.773 0
 152000 999.771 0,  -152000 -999.771 0
 153000 999.769 0,  -153000 -999.769 0
 154000 999.768 0,  -154000 -999.768 0
 155000 999.766 0,  -155000 -999.766 0
 156000 999.765 0,  -156000 -999.765 0
 157000 999.763 0,  -157000 -999.763 0
 158000 999.762 0,  -158000 -999.762 0
 159000 999.76 0,  -159000 -999.76 0
 160000 999.759 0,  -160000 -999.759 0
 161000 999.757 0,  -161000 -999.757 0
 162000 999.756 0,  -162000 -999.756 0
 163000 999.754 0,  -163000 -999.754 0
 164000 999.753 0,  -164000 -999.753 0
 165000 999.751 0,  -165000 -999.751 0
 166000 999.75 0,  -166000 -999.75 0
 167000 999.748 0,  -167000 -999.748 0
 168000 999.747 0,  -168000 -999.747 0
 169000 999.745 0,  -169000 -999.745 0
 170000 999.744 0,  -170000 -999.744 0
 171000 999.742 0,  -171000 -999.742 0
 172000 999.741 0,  -172000 -999.741 0
 173000 999.739 0,  -173000 -999.739 0
 174000 999.738 0,  -174000 -999.738 0
 175000 999.736 0,  -175000 -999.736 0
 176000 999.735 0,  -176000 -999.735 0
 177000 999.733 0,  -177000 -999.733 0
 178000 999.732 0,  -178000 -999.732 0
 179000 999.73 0,  -179000 -999.73 0
 180000 999.729 0,  -180000 -999.729 0
 181000 999.727 0,  -181000 -999.727 0
 182000 999.726 0,  -182000 -999.726 0
 183000 999.724 0,  -183000 -999.724 0
 184000 999.723 0,  -184000 -999.723 0
 185000 999.721 0,  -185000 -999.721 0
 186000 999.72 0,  -186000 -999.72 0
 187000 999.718 0,  -187000 -999.718 0
 188000 999.717 0,  -188000 -999.717 0
 189000 999.715 0,  -189000 -999.715 0
 190000 999.714 0,  -190000 -999.714 0
 191000 999.712 0,  -191000 -999.712 0
 192000 999.711 0,  -192000 -999.711 0
 193000 999.709 0,  -193000 -999.709 0
 194000 999.707 0,  -194000 -999.707 0
 195000 999.706 0,  -195000 -999.706 0
 196000 999.704 0,  -196000 -999.704 0
 197000 999.703 0,  -197000 -999.703 0
 198000 999.701 0,  -198000 -999.701 0
 199000 999.7 0,  -199000 -999.7 0
 200000 999.698 0,  -200000 -999.698 0
 201000 999.697 0,  -201000 -999.697 0
 202000 999.695 0,  -202000 -999.695 0
 203000 999.694 0,  -203000 -999.694 0
 204000 999.692 0,  -204000 -999.692 0
 205000 999.691 0,  -205000 -999.691 0
 206000 999.689 0,  -206000 -999.689 0
 207000 999.688 0,  -207000 -999.688 0
 208000 999.686 0,  -208000 -999.686 0
 209000 999.685 0,  -209000 -999.685 0
 210000 999.683 0,  -210000 -999.683 0
 211000 999.682 0,  -211000 -999.682 0
 212000 999.68 0,  -212000 -999.68 0
 213000 999.679 0,  -213000 -999.679 0
 214000 999.677 0,  -214000 -999.677 0
 215000 999.676 0,  -215000 -999.676 0
 216000 999.674 0,  -216000 -999.674 0
 217000 999.673 0,  -217000 -999.673 0
 218000 999.671 0,  -218000 -999.671 0
 219000 999.67 0,  -219000 -999.67 0
 220000 999.668 0,  -220000 -999.668 0
 221000 999.667 0,  -221000 -999.667 0
 222000 999.665 0,  -222000 -999.665 0
 223000 999.664 0,  -223000 -999.664 0
 224000 999.662 0,  -224000 -999.662 0
 225000 999.661 0,  -225000 -999.661 0
 226000 999.659 0,  -226000 -999.659 0
 227000 999.658 0,  -227000 -999.658 0
 228000 999.656 0,  -228000 -999.656 0
 229000 999.655 0,  -229000 -999.655 0
 230000 999.653 0,  -230000 -999.653 0
 231000 999.652 0,  -231000 -999.652 0
 232000 999.65 0,  -232000 -999.65 0
 233000 999.649 0,  -233000 -999.649 0
 234000 999.647 0,  -234000 -999.647 0
 235000 999.645 0,  -235000 -999.645 0
 236000 999.644 0,  -236000 -999.644 0
 237000 999.642 0,  -237000 -999.642 0
 238000 999.641 0,  -238000 -999.641 0
 239000 999.639 0,  -239000 -999.639 0
 240000 999.638 0,  -240000 -999.638 0
 241000 999.636 0,  -241000 -999.636 0
 242000 999.635 0,  -242000 -999.635 0
 243000 999.633 0,  -243000 -999.633 0
 244000 999.632 0,  -244000 -999.632 0
 245000 999.63 0,  -245000 -999.63 0
 246000 999.629 0,  -246000 -999.629 0
 247000 999.627 0,  -247000 -999.627 0
 248000 999.626 0,  -248000 -999.626 0
 249000 999.624 0,  -249000 -999.624 0
 250000 999.623 0,  -250000 -999.623 0
 251000 999.621 0,  -251000 -999.621 0
 252000 999.62 0,  -252000 -999.62 0
 253000 999.618 0,  -253000 -999.618 0
 254000 999.617 0,  -254000 -999.617 0
 255000 999.615 0,  -255000 -999.615 0
 256000 999.614 0,  -256000 -999.614 0
 257000 999.612 0,  -257000 -999.612 0
 258000 999.611 0,  -258000 -999.611 0
 259000 999.609 0,  -259000 -999.609 0
 260000 999.608 0,  -260000 -999.608 0
 261000 999.606 0,  -261000 -999.606 0
 262000 999.605 0,  -262000 -999.605 0
 263000 999.603 0,  -263000 -999.603 0
 264000 999.602 0,  -264000 -999.602 0
 265000 999.6 0,  -265000 -999.6 0
 266000 999.599 0,  -266000 -999.599 0
 267000 999.597 0,  -267000 -999.597 0
 268000 999.596 0,  -268000 -999.596 0
 269000 999.594 0,  -269000 -999.594 0
 270000 999.593 0,  -270000 -999.593 0
 271000 999.591 0,  -271000 -999.591 0
 272000 999.59 0,  -272000 -999.59 0
 273000 999.588 0,  -273000 -999.588 0
 274000 999.586 0,  -274000 -999.586 0
 275000 999.585 0,  -275000 -999.585 0
 276000 999.583 0,  -276000 -999.583 0
 277000 999.582 0,  -277000 -999.582 0
 278000 999.58 0,  -278000 -999.58 0
 279000 999.579 0,  -279000 -999.579 0
 280000 999.577 0,  -280000 -999.577 0
 281000 999.576 0,  -281000 -999.576 0
 282000 999.574 0,  -282000 -999.574 0
 283000 999.573 0,  -283000 -999.573 0
 284000 999.571 0,  -284000 -999.571 0
 285000 999.57 0,  -285000 -999.57 0
 286000 999.568 0,  -286000 -999.568 0
 287000 999.567 0,  -287000 -999.567 0
 288000 999.565 0,  -288000 -999.565 0
 289000 999.564 0,  -289000 -999.564 0
 290000 999.562 0,  -290000 -999.562 0
 291000 999.561 0,  -291000 -999.561 0
 292000 999.559 0,  -292000 -999.559 0
 293000 999.558 0,  -293000 -999.558 0
 294000 999.556 0,  -294000 -999.556 0
 295000 999.555 0,  -295000 -999.555 0
 296000 999.553 0,  -296000 -999.553 0
 297000 999.552 0,  -297000 -999.552 0
 298000 999.55 0,  -298000 -999.55 0
 299000 999.549 0,  -299000 -999.549 0
 300000 999.547 0,  -300000 -999.547 0
 301000 999.546 0,  -301000 -999.546 0
 302000 999.544 0,  -302000 -999.544 0
 303000 999.543 0,  -303000 -999.543 0
 304000 999.541 0,  -304000 -999.541 0
 305000 999.54 0,  -305000 -999.54 0
 306000 999.538 0,  -306000 -999.538 0
 307000 999.537 0,  -307000 -999.537 0
 308000 999.535 0,  -308000 -999.535 0
 309000 999.534 0,  -309000 -999.534 0
 310000 999.532 0,  -310000 -999.532 0
 311000 999.531 0,  -311000 -999.531 0
 312000 999.529 0,  -312000 -999.529 0
 313000 999.528 0,  -313000 -999.528 0
 314000 999.526 0,  -314000 -999.526 0
 315000 999.524 0,  -315000 -999.524 0
 316000 999.523 0,  -316000 -999.523 0
 317000 999.521 0,  -317000 -999.521 0
 318000 999.52 0,  -318000 -999.52 0
 319000 999.518 0,  -319000 -999.518 0
 320000 999.517 0,  -320000 -999.517 0
 321000 999.515 0,  -321000 -999.515 0
 322000 999.514 0,  -322000 -999.514 0
 323000 999.512 0,  -323000 -999.512 0
 324000 999.511 0,  -324000 -999.511 0
 325000 999.509 0,  -325000 -999.509 0
 326000 999.508 0,  -326000 -999.508 0
 327000 999.506 0,  -327000 -999.506 0
